Review,OnlinePlatform,MentorsTeachers,Price,MentorsTeachers,Price,CareerSupport,ContentSyllabus,Job Guarantee,FullStack,Cybersecurity,DataScience,AppliedAI,Outcomes,Scholarships,Rigobot,LearnPack
"Muy buena academia, sin embargo hay ciertas circunstancias las cuales hacen ver un poco desordenado el proceso de aprendizaje.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No he recibido lecciones con él,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he recibido clases con él pero siempre ha sido muy atento y amable en el aula general y ayudando con GIT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"El trato de los profesores ha sido bueno, aunque el programa es más intensivo de lo que se imaginaba.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi experiencia ha sido buena sin embargo percibo que pudo haber sido mejor si me hubiera dado por enterada con mucha más anticipación del prework y la importancia en el curso.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Explica muy bien, lo único es que se ocupan más ejemplos de aplicación de la materia para terminar de entender lo leído",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aun es pronto para hacer esa pregunta, de momento si lo haría",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No me ha dado mentirías aún 
Nos proporcionan los vídeos de las clases",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
He tenido muy poca interacción con él ya que estoy más en contacto con los TA y Teachers.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente muy agradecida, porque él a tenido la paciencia de explicarme y la amabilidad de ayudarme. Gracias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siento que debería de explicar un poco más a profundidad ciertos temas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no he recibido clases con el pero se que todos los profes de esta academia son muy buenos,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Una persona muy atenta a los grupos y con mucha paciencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente persona servicial y atento ayudar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente profesor!,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"muy atento, responde en minutos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hasta el momento no he tenido el placer que me explique alguna clase.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"muy bien, ayuda con las consultas durante los primeros momentos de la clase.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aun no ha sido mi mentor, no he tenido la oportunidad de trabajar en algún breakout room con él o verlo impartir una clase general pero siempre ha estado pendiente de las consultas de slack, aportando consejos, opiniones. Los aportes que ha realizado para mi han sido necesarios, concisos.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Me cuesta mantenerme al día con cada clase pues siempre vemos tema nuevo y no he domido el anterior completamente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muy bien y me siento entusiasmado de continuar.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He aprendido bastante hasta el momento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muy buena gente, nos dio una bonita bienvenida!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente siempre ha sido muy colaborativa y abierta a consultas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No piden requisitos mas que bachillerato de cole y SI se necesitan conocimientos previos.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Excelente, metodología de enseñanza.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muy atento a las observaciones y muestra mucho interés de que tengamos acceso a los recursos multimedia disponibles en la academia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel, siempre está muy atento y nos extiende la invitación para que desarrollemos todas las prácticas del Breathe, con el fin de mejorar y tener una mejor experiencia en el desarrollo del bootcamp.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Una academia comprometida, responsable con buena metodología de enseñanza.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las clases no han sido desarrolladas de manera estructurada y el nivel de cada clase ha sido centrado en personas que ya tienen conocimientos avanzados que representan la minoría de estudiantes. El profesor Fernando que principalmente ha impartido las lecciones pese que evidencia tener conocimiento no ha podido explicar de manera clara y concisa las clases, normalmente divaga entre muchas ideas y no queda claro lo que se explica. Por ejemplo el primer día de clases partieron como que todos ya sabíamos usar las herramientas del curso y debido a que los estudiantes que ya son programadores participaban activamente se hicieron explicaciones superficiales.",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Es muy amable, peso ha eso cada vez que le he consultado algo busca si alguien ha hecho un video sobre el tema para evitar explicarme sobre el tema el con sus propias palabras o dándome acompañamiento.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aun no ha sido mi mentor, no he tenido la oportunidad de trabajar en algún breakout room con él, pero le doy esa calificación porque es super activo en slack, nos hace envíos de material extra, siempre contesta cualquier duda que se tenga, además, considero que las explicaciones que brinda a través de los videos que ha enviado son claras, van al punto.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Considero que el programa inicio algo desordenado. No se termino el pre-work antes de iniciar la primera clase, aunque entiendo que debemos seguirlo trabajando poco a poco. La primera clase fue como si le echaran un balde de agua fria a muchos y con esto me refiero a que muchos no cuentan con experiencia academica universitaria o laboral en desarrollo de software y vale aclarar que el MICITT (ente nacional becario) cuando convoco a postulaciones dejo en claro que era para personas que deseaban involucrarse en desarrollo desde cero. Yo he tenido la oportunidad de trabajar en entornos de desarrollo y debo de aclarar que este bootcamp ha venido a aclararme conceptos que me son abstractos en la practica pero me hubiera encantado completar el pre-work antes de esa primera clase (que se hubiera enviado con tiempo el pre-work) y en ves que iniciar con estructura html y css, haber tenido esa primera clase sobre el funcionamiento del github y gitpod. Pueden mejorarlo.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
His knowledge is something that I want to achieve,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Si mejoran en como desarrollan las clases he interactúan con los estudiantes lo recomendaría, Ejemplo cuando se es novato uno espera que una persona desarrolle un ejerció rápido y luego le pongan algo similar para que imite y con forme avanza lo vuelve mas libre. Siento que el tiempo de clases no se ha aprovechado bien y la mayoría de los estudiantes están atrasados.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Los profesores se toman el tiempo en explicar de una forma clara,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"No he necesitamo mucho de el, pero cuando lo necesito me ayuda ASAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muy bien, mantiene bastante el profesionalismo y la seriedad del caso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creo que Costa Rica aún no sabe quienes son 4Geeks Academy y no dimensiona lo importante de ser parte de la comunidad, pero para aquellos que lo sabemos es una oportunidad especial en la vida; a la que todos deberiamos tener acceso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manu es muy atento, está pendiente de cualquier cosa que uno necesite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No he tenido interacción uno a uno con ella, pero durante las clases generales suele hacer comentarios que ayudan a entender el tema que se está viendo, se ve muy amable y dispuesta a ayudar",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
